State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,County Medical Services,Other,"A program that funds medical care for uninsured indigent adult county residents. While not a health insurance program, County Medical Services (CMS) funds services through a network of community health centers, private physicians and hospitals.",Uninsured indigent adult county residents,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/county_medical_services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Behavioral Health Services,Mental Health | Substance Abuse,Behavioral Health Services provides mental health and substance use services for individuals and families in need.,Individuals and families seeking mental health or substance use services,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/bhs.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Adult Protective Services,Other,Adult Protective Services (APS) helps adults 60 and older and dependent and disabled adults 18 and older who are harmed or threatened with harm to keep their right to safety and dignity.,Adults 60 and older and dependent and disabled adults 18 and older,Not specified,Call 800-339-4661 to report elder or dependent adult abuse,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ais/Services/Adult-Protective-Services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,CalFresh (Food Stamps),Other,"CalFresh, also known as Supplemental Nutrition Assistance Program (SNAP), provides low income households with monthly benefits to buy food.",Low income households,"Eligibility depends on household size, income, and expenses.",Apply for CalFresh and you may be eligible to receive benefits in as few as 3 days.,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/food_stamps.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Medical Care Services,Primary Care,"Medical Care Services provides a variety of health services to the community, including pediatric health, older adult health, and oral health.","General public, including children and older adults",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/mcsd.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Get Mental Health or Substance Use Help,Mental Health | Substance Abuse,"This program provides access to mental health and substance use services, including crisis support and outpatient treatment.",Individuals experiencing mental health or substance use challenges,Not specified,Call 9-8-8 or 1-888-724-7240 for assistance,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/bhs/get_help_now.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Birth Certificates,Other,"Request a birth certificate for anyone born in San Diego County, including those born within the last 24 months.",Individuals born in San Diego County,Not specified,"In-person, online through VitalChek, or by mail.","Child's full name, mother's full maiden name, child's date of birth, and a valid government issued picture ID.",Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/office_of_vital_records_and_statistics/birth_certificates.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Child Abuse Hotline,Other,The Child Abuse Hotline provides resources and support for reporting suspected child abuse or neglect.,Children and youth who may be at risk of abuse or neglect.,Not specified,Call the hotline or use the online Mandated Reporter Application for non-urgent reports.,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/cs/child_welfare_services/child_abuse_hotline.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Medi-Cal,Other,Medi-Cal is California's Medicaid program that provides free or low-cost health coverage to children and adults.,All California residents,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/medi-cal_program.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Aging & Independence Services,Other,Aging & Independence Services provides support and resources for older adults and persons with disabilities.,"Older adults, persons with disabilities, families, and caregivers",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ais.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,CalWORKs,Other,"CalWORKs provides temporary cash assistance to eligible families with minor children, to move families with children from dependency to self-sufficiency through employment.",Families with minor children,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/calworks.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
